Property Name,Property Address,Latitude,Longitude,Rent Type,Style,Year Built,Vacancy %,Number Of Units,Number Of Studios Units,Studio Asking Rent/Unit,Studio Avg SF,Number Of 1 Bedrooms Units,One Bedroom Asking Rent/Unit,One Bedroom Avg SF,Number Of 2 Bedrooms Units,Two Bedroom Asking Rent/Unit,Two Bedroom Avg SF,Number Of 3 Bedrooms Units,Three Bedroom Asking Rent/Unit,Three Bedroom Avg SF,Number Of 4 Bedrooms Units,Four Bedroom Asking Rent/Unit,Four Bedroom Avg SF
,1525-1595 W Hubbard Rd,43.5168191,-116.4129722,Market,,2020,6.2500,32,,,,32,,696,,,,,,,,,
Gibson,505 W Idaho St,43.6144445,-116.1997016,Market,Mid-Rise,2018,2.4691,81,21,1569,559,45,1688,680,15,2264,1021,,,,,,
The Watercooler Apartments,1401 W Idaho St,43.6199367,-116.2102817,Market,Low-Rise,2017,10.8108,37,13,1896,784,14,1607,648,8,1650,768,2,1832,1084,,,
The Summit,16645 Idaho Center Blvd,43.6147605,-116.5140379,Market,Garden,2020,,102,,,,23,1449,701,79,1601,1019,,,,,,
Laguna Farms,16852 Idaho Center Blvd,43.6173410,-116.5098667,Market,Garden,2021,46.0000,350,,,,,,,,,,350,1648,1500,,,
Stone Creek Apartments,1505 Indian Springs St,43.6327133,-116.6803349,Market,Low-Rise,2023,3.4722,144,,,,24,1301,1000,58,1502,1200,62,1702,1350,,,
Las Brisas,1402 E Indian Springs St,43.6318767,-116.6818396,Affordable,Low-Rise,2020,,48,,,,32,1152,600,16,1148,846,,,,,,
,8941 W Irving St,43.6156775,-116.2935060,Market,Townhome,2021,4.1667,24,24,,,,,,,,,,,,,,
The Logan,2516 W Karcher Rd,43.6059435,-116.6110115,Market,Garden,2026,,264,,,,200,1535,741,38,1782,1089,26,2219,1314,,,
Cougar Crossing,116 S Kcid Rd,43.6692845,-116.6357150,Market,Garden,2025,27.2727,88,,,,,,,40,1702,1073,48,2043,1565,,,
Easton Village Apartments,9101 W Lake Hazel Rd,43.5462468,-116.2960442,Market,Garden,2019,11.1111,144,,,,38,1413,781,82,1619,1010,24,1813,1219,,,
Riverline,1105 W Lee St,43.6130681,-116.2118754,Market,Mid-Rise,2023,2.0833,48,2,1140,497,8,1710,627,38,2131,979,,,,,,
Lexington Sky,4703 Lexington Sky Ln,43.6605867,-116.6399547,Market,Low-Rise,2023,3.5714,84,,,,24,1287,703,60,1358,971,,,,,,
Limelight Village,8255 W Limelight St,43.6747715,-116.2899044,Market,Low-Rise,2023,3.5294,85,,,,56,1410,697,29,1614,1033,,,,,,
Modern Craftsman Ten Mile,3233 W Littleton Ln,43.6112380,-116.4349730,Market,Single-Family Home,2023,5.9259,135,,,,45,1671,753,60,2057,1098,30,2726,1308,,,
Shallow Creek Townhomes,100 S Locust Rd,43.6043248,-116.3735392,Market,Low-Rise,2017,0.0000,60,,,,,,,60,1259,1000,,,,,,
